,openalex_id,doi,publication_date,title,abstract,mag_id,pmid,pmcid,arxiv_id,cited_by_api_url,authors_id,authors_name,orcid,topics,raw_affiliation_strings,institution_ids,referenced_works,citations,vector_title_voyageai,vector_abstract_voyageai,vector_title_openai,vector_abstract_openai
0,,https://doi.org/10.1016/j.isci.2025.111819,2025-01-18,ENTPD8 overexpression enhances anti-PD-L1 therapy in hepatocellular carcinoma via miR-214-5p inhibition,,,,,,,[],"['Si-qi Zhao' 'Min-jie Chen' 'Fei Chen' 'Zhao-feng Gao' 'Xiao-ping Li'
 'Ling-yu Hu' 'Hai-ying Cheng' 'Jin-yan Xuan' 'Jian-guo Fei'
 'Zheng-wei Song']",[],[],[],[],"['https://doi.org/10.1053/j.gastro.2023.01.033'
 'https://doi.org/10.1038/s41575-020-00381-6'
 'https://doi.org/10.1016/j.jhep.2021.09.007'
 'https://doi.org/10.1038/s41575-022-00704-9'
 'https://doi.org/10.3390/cancers16101835'
 'https://doi.org/10.1016/j.cbpb.2009.11.005'
 'https://doi.org/10.1073/pnas.2100594118'
 'https://doi.org/10.1021/acs.jafc.2c04017'
 'https://doi.org/10.3389/fphys.2022.918100'
 'https://doi.org/10.1016/j.tranon.2022.101529'
 'https://doi.org/10.1136/gutjnl-2020-320937'
 'https://doi.org/10.1016/S1470-2045(21)00525-8'
 'https://doi.org/10.1007/s00262-015-1783-4'
 'https://doi.org/10.1186/s12943-021-01489-2'
 'https://doi.org/10.1016/j.immuni.2018.03.014'
 'https://doi.org/10.1186/s12943-018-0928-4'
 'https://doi.org/10.1016/j.humpath.2017.06.012'
 'https://doi.org/10.3389/fimmu.2022.1070961'
 'https://doi.org/10.1038/s41571-021-00473-5'
 'https://doi.org/10.1016/j.clinthera.2015.02.018'
 'https://doi.org/10.1186/s13045-020-00940-z'
 'https://doi.org/10.1016/S0140-6736(21)00797-2'
 'https://doi.org/10.1038/nature14011'
 'https://doi.org/10.1002/cac2.12244'
 'https://doi.org/10.1016/j.drup.2022.100907'
 'https://doi.org/10.1146/annurev-immunol-070621-030155'
 'https://doi.org/10.1186/s13045-022-01242-2'
 'https://doi.org/10.1080/17425255.2021.2029405'
 'https://doi.org/10.3390/ijms231911363'
 'https://doi.org/10.1080/21655979.2021.1994907'
 'https://doi.org/10.1111/cas.13733' 'https://doi.org/10.7150/ijbs.47203'
 'https://doi.org/10.1016/j.biopha.2021.111528'
 'https://doi.org/10.1089/nat.2020.0914'
 'https://doi.org/10.1002/ddr.21257'
 'https://doi.org/10.1016/j.omtn.2020.03.003'
 'https://doi.org/10.1007/s10555-017-9724-7'
 'https://doi.org/10.3390/nu13072245'
 'https://doi.org/10.2217/bmm-2018-0127'
 'https://doi.org/10.3389/fonc.2022.965231'
 'https://doi.org/10.3390/ijms23115881'
 'https://doi.org/10.3390/cancers13235874'
 'https://doi.org/10.3748/wjg.v23.i21.3864'
 'https://doi.org/10.1016/j.biocel.2014.05.020'
 'https://doi.org/10.1002/jcb.27498' 'https://doi.org/10.2147/JHC.S410891'
 'https://doi.org/10.1016/j.neo.2022.01.001'
 'https://doi.org/10.1016/j.neo.2017.05.002'
 'https://doi.org/10.1093/bioinformatics/btz210']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[-0.01813724 -0.08648875  0.02043031 ... -0.00895203  0.02787954
  0.00802573]",[0. 0. 0. ... 0. 0. 0.]
1,,https://doi.org/10.1016/j.stress.2025.100967,2025-07-24,"Aluminum stress in Crotalaria spp.: anatomic changes, antioxidative response and nutrition",,,,,,,[],"['Beatriz Silvério dos Santos' 'Tassia Caroline Ferreira'
 'Patrícia Fernanda Rosalem' 'Maiara Luzia Grigoli Olivio'
 'Valentina Pasquali Bossardi' 'Aline Redondo Martins' 'Lucas Anjos Souza'
 'Liliane Santos de Camargos']",[],[],[],[],"['https://doi.org/10.1016/S0076-6879(84)05016-3'
 'https://doi.org/10.1016/j.ecoenv.2020.110524'
 'https://doi.org/10.1007/s13765-012-2314-z'
 'https://doi.org/10.1590/1983-40632020v5061011'
 'https://doi.org/10.1590/S0100-06832013000100018'
 'https://doi.org/10.1016/0003-2697(71)90370-8'
 'https://doi.org/10.1016/0003-2697(76)90527-3'
 'https://doi.org/10.1093/jxb/erac114'
 'https://doi.org/10.1016/S0076-6879(55)02300-8'
 'https://doi.org/10.1590/S0044-59672007000200008'
 'https://doi.org/10.1590/S0100-67622009000200006'
 'https://doi.org/10.1007/s40415-023-00900-0'
 'https://doi.org/10.1104/pp.59.2.309'
 'https://doi.org/10.1016/j.plaphy.2010.08.016'
 'https://doi.org/10.3390/antiox9080681'
 'https://doi.org/10.1104/pp.84.2.450'
 'https://doi.org/10.1016/0003-9861(68)90654-1'
 'https://doi.org/10.1126/science.163.3869.817'
 'https://doi.org/10.1093/aob/mcq053'
 'https://doi.org/10.1590/1983-40632016v4641426'
 'https://doi.org/10.1104/pp.57.2.315'
 'https://doi.org/10.1016/j.envexpbot.2006.12.005'
 'https://doi.org/10.1146/annurev-arplant-043014-114822'
 'https://doi.org/10.1093/jxb/erq282'
 'https://doi.org/10.1007/s12374-020-09280-4'
 'https://doi.org/10.1007/s11738-015-2034-1'
 'https://doi.org/10.1007/s10534-016-9910-z'
 'https://doi.org/10.18811/ijpen.v8i02.01'
 'https://doi.org/10.3109/10520297309116632'
 'https://doi.org/10.3329/jbas.v43i2.45733'
 'https://doi.org/10.3390/plants13162292'
 'https://doi.org/10.1038/nmeth.2089'
 'https://doi.org/10.1155/2012/217037'
 'https://doi.org/10.1016/j.scitotenv.2020.142744'
 'https://doi.org/10.1093/jxb/erw071'
 'https://doi.org/10.1104/pp.110.165472'
 'https://doi.org/10.1016/j.plaphy.2020.11.047'
 'https://doi.org/10.1104/pp.125.1.199'
 'https://doi.org/10.1080/00380768.2018.1553484'
 'https://doi.org/10.30848/PJB2019-4(37)'
 'https://doi.org/10.1093/jxb/erac073']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[ 0.05052716 -0.01717079  0.04855675 ...  0.00577755 -0.01862046
 -0.00957764]",[0. 0. 0. ... 0. 0. 0.]
2,,https://doi.org/10.1016/j.cstp.2025.101503,2025-05-27,Assessment of constraints in use of non-motorized transport in Lahore,,,,,,,[],['Amer Aziz' 'Muhammad Nadeem' 'M Sana Ullah Khan' 'Fumiko Ito'],[],[],[],[],"['https://doi.org/10.1007/s11116-011-9355-8'
 'https://doi.org/10.14233/ajchem.2018.21484'
 'https://doi.org/10.37284/eajbe.3.1.365'
 'https://doi.org/10.1088/1748-9326/7/4/044042'
 'https://doi.org/10.1289/ehp.115-a180'
 'https://doi.org/10.1016/j.tranpol.2020.11.005'
 'https://doi.org/10.1007/s10668-021-01531-9'
 'https://doi.org/10.3390/su7067784'
 'https://doi.org/10.1016/j.sbspro.2013.11.207'
 'https://doi.org/10.1016/j.cstp.2018.06.001'
 'https://doi.org/10.55737/qjss.610701686'
 'https://doi.org/10.1016/j.trd.2015.11.004'
 'https://doi.org/10.1007/s40890-021-00136-1'
 'https://doi.org/10.1016/j.proeng.2011.11.147']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[ 0.03963252  0.02372087  0.03642241 ...  0.0282891  -0.04988018
  0.01327257]",[0. 0. 0. ... 0. 0. 0.]
3,,https://doi.org/10.1016/j.stress.2025.100910,2025-06-02,The private life of deepwater rice: Unravelling exclusive features and unexplored mechanisms,,,,,,,[],"['Megha Rohilla' 'Abhishek Mazumder' 'Koushik Chakraborty'
 'Dhiren Chowdhury' 'Nitendra Prakash' 'Tapan Kumar Mondal']",[],[],[],[],"['https://doi.org/10.1093/plphys/kiac008'
 'https://doi.org/10.1093/aob/mcw051'
 'https://doi.org/10.1016/j.jcs.2017.09.008'
 'https://doi.org/10.1016/j.soilbio.2011.02.007'
 'https://doi.org/10.1111/ppl.13536'
 'https://doi.org/10.3389/fagro.2019.00003'
 'https://doi.org/10.1007/BF03030714'
 'https://doi.org/10.1105/tpc.111.084475'
 'https://doi.org/10.1111/j.1469-8137.2006.01725.x'
 'https://doi.org/10.1104/pp.84.2.282'
 'https://doi.org/10.1046/j.1365-3040.2003.00846.x'
 'https://doi.org/10.1111/aab.12161' 'https://doi.org/10.1093/aob/mcl076'
 'https://doi.org/10.1111/pce.12781' 'https://doi.org/10.1038/nature08258'
 'https://doi.org/10.1104/pp.99.3.1156'
 'https://doi.org/10.5455/faa.195256'
 'https://doi.org/10.3329/jbau.v16i1.36478'
 'https://doi.org/10.1186/s12284-023-00671-y'
 'https://doi.org/10.1093/aob/mcf242'
 'https://doi.org/10.1111/j.1365-3040.2007.01644.x'
 'https://doi.org/10.1007/s10333-014-0463-x'
 'https://doi.org/10.1046/j.1365-313X.2003.01780.x'
 'https://doi.org/10.1104/pp.118.4.1105'
 'https://doi.org/10.1016/j.rsci.2022.08.002'
 'https://doi.org/10.1093/jxb/ern300' 'https://doi.org/10.1007/BF00025065'
 'https://doi.org/10.3389/fpls.2017.01753'
 'https://doi.org/10.1126/science.aat1577'
 'https://doi.org/10.1104/pp.88.2.361'
 'https://doi.org/10.5897/AJMR11.265' 'https://doi.org/10.1104/pp.008888'
 'https://doi.org/10.1104/pp.010345' 'https://doi.org/10.1071/FP23226'
 'https://doi.org/10.1111/nph.18678' 'https://doi.org/10.1104/pp.119.1.21'
 'https://doi.org/10.1080/1343943X.2022.2161401'
 'https://doi.org/10.9734/ijecc/2023/v13i103088'
 'https://doi.org/10.1093/aob/mcq028'
 'https://doi.org/10.1080/09670877709412477'
 'https://doi.org/10.1104/pp.17.00858'
 'https://doi.org/10.3389/fpls.2023.1261101'
 'https://doi.org/10.1270/jsbbs.22086'
 'https://doi.org/10.1038/s41586-020-2501-8'
 'https://doi.org/10.1126/science.1126088'
 'https://doi.org/10.1105/TPC.010127' 'https://doi.org/10.1111/pce.14250'
 'https://doi.org/10.1007/s00425-014-2100-8'
 'https://doi.org/10.1111/ppl.13736' 'https://doi.org/10.1104/pp.72.2.447'
 'https://doi.org/10.1104/pp.76.4.947'
 'https://doi.org/10.1126/science.228.4697.327'
 'https://doi.org/10.1007/s00438-020-01690-w'
 'https://doi.org/10.1007/s13562-023-00834-4'
 'https://doi.org/10.1016/j.gene.2024.148801'
 'https://doi.org/10.1007/BF00007933' 'https://doi.org/10.1093/pcp/pcm003'
 'https://doi.org/10.1007/s10725-018-0378-4'
 'https://doi.org/10.1007/BF00196964'
 'https://doi.org/10.1046/j.1365-313X.1995.7040623.x'
 'https://doi.org/10.3329/brj.v23i1.46081'
 'https://doi.org/10.1007/s42452-019-1485-1'
 'https://doi.org/10.1016/j.plantsci.2008.03.002'
 'https://doi.org/10.1007/s001220051582'
 'https://doi.org/10.1104/pp.105.064469'
 'https://doi.org/10.1111/j.1469-8137.2010.03496.x'
 'https://doi.org/10.1007/s00425-005-0111-1'
 'https://doi.org/10.1104/pp.125.2.955'
 'https://doi.org/10.1080/01635581.2011.538953'
 'https://doi.org/10.1016/j.agwat.2019.03.054'
 'https://doi.org/10.1073/pnas.1116437108'
 'https://doi.org/10.1016/j.jfca.2021.104086'
 'https://doi.org/10.1073/pnas.94.18.9979'
 'https://doi.org/10.1007/BF00020405'
 'https://doi.org/10.1104/pp.120.2.559'
 'https://doi.org/10.1186/s12870-015-0530-5'
 'https://doi.org/10.1104/pp.15.00106'
 'https://doi.org/10.1023/B:PLAN.0000009693.26740.c3'
 'https://doi.org/10.1091/mbc.4.4.363']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[ 0.06019147  0.02216004  0.07845853 ... -0.05340371  0.01360048
 -0.02392353]",[0. 0. 0. ... 0. 0. 0.]
4,,https://doi.org/10.1016/j.isci.2025.111872,2025-01-22,Perturbation of EPHA2 and EFNA1 trans binding amplifies inflammatory response in airway epithelial cells,,,,,,,[],"['Ryosuke Fukuda' 'Shiori Beppu' 'Daichi Hinata' 'Yuka Kamada'
 'Tsukasa Okiyoneda']",[],[],[],[],"['https://doi.org/10.1007/s00441-010-1048-7'
 'https://doi.org/10.1152/ajplung.00250.2006'
 'https://doi.org/10.1203/PDR.0b013e31819f195d'
 'https://doi.org/10.1038/ni1112'
 'https://doi.org/10.1038/s41388-019-0931-2'
 'https://doi.org/10.1016/j.ajpath.2012.06.043'
 'https://doi.org/10.1016/j.devcel.2019.11.013'
 'https://doi.org/10.1016/j.afos.2016.05.002'
 'https://doi.org/10.1016/j.biocel.2008.07.019'
 'https://doi.org/10.3389/fimmu.2019.01473'
 'https://doi.org/10.1016/j.ccr.2009.04.009'
 'https://doi.org/10.3390/cancers13040700'
 'https://doi.org/10.1016/j.jbc.2023.104699'
 'https://doi.org/10.1038/s41564-017-0059-5'
 'https://doi.org/10.1038/nm.2805' 'https://doi.org/10.1128/mBio.02892-18'
 'https://doi.org/10.1371/journal.pone.0007259'
 'https://doi.org/10.1080/01902148.2019.1665147'
 'https://doi.org/10.1177/1753425918792070'
 'https://doi.org/10.1021/acschembio.5b00753'
 'https://doi.org/10.1083/jcb.201901032'
 'https://doi.org/10.1146/annurev.neuro.21.1.309'
 'https://doi.org/10.1002/eji.201040421'
 'https://doi.org/10.1016/j.canlet.2018.12.011'
 'https://doi.org/10.3389/fonc.2023.1117326'
 'https://doi.org/10.1128/MCB.06791-11'
 'https://doi.org/10.1038/onc.2013.180'
 'https://doi.org/10.3390/ijms22052480'
 'https://doi.org/10.1016/j.cell.2005.08.014'
 'https://doi.org/10.1038/nm.4419'
 'https://doi.org/10.1021/acsptsci.2c00050'
 'https://doi.org/10.1002/term.1969'
 'https://doi.org/10.1074/jbc.M112.441758'
 'https://doi.org/10.1111/j.1349-7006.2007.00440.x'
 'https://doi.org/10.1038/s41586-018-0394-6'
 'https://doi.org/10.3389/fimmu.2021.793517'
 'https://doi.org/10.1165/rcmb.2011-0044OC'
 'https://doi.org/10.5115/acb.21.068'
 'https://doi.org/10.2353/ajpath.2009.080949'
 'https://doi.org/10.15252/embr.201949666'
 'https://doi.org/10.1126/science.adg5314'
 'https://doi.org/10.1038/ncomms8679'
 'https://doi.org/10.1083/jcb.201005141'
 'https://doi.org/10.1002/ijc.24748' 'https://doi.org/10.4161/cbt.20082'
 'https://doi.org/10.1101/gad.13.23.3125'
 'https://doi.org/10.1016/j.jbc.2022.102225'
 'https://doi.org/10.1016/j.bbrc.2012.03.113'
 'https://doi.org/10.1074/jbc.M109.034090'
 'https://doi.org/10.1089/ars.2013.5447'
 'https://doi.org/10.1146/annurev.iy.13.040195.002253'
 'https://doi.org/10.1016/j.bbrc.2007.11.010'
 'https://doi.org/10.1186/s13045-020-00944-9'
 'https://doi.org/10.1164/rccm.201711-2300OC'
 'https://doi.org/10.2147/COPD.S276171'
 'https://doi.org/10.1128/MCB.01460-08'
 'https://doi.org/10.4049/jimmunol.1303370'
 'https://doi.org/10.21873/anticanres.16249'
 'https://doi.org/10.3389/fmolb.2022.840649'
 'https://doi.org/10.1016/j.devcel.2018.02.001'
 'https://doi.org/10.1242/jcs.228007'
 'https://doi.org/10.3390/ijms24032305'
 'https://doi.org/10.1128/AEM.02336-09']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[-0.02201428 -0.00313919  0.00160347 ... -0.02744836  0.06448627
 -0.08016311]",[0. 0. 0. ... 0. 0. 0.]
5,,https://doi.org/10.1016/j.stress.2025.100972,2025-07-25,"Seasonal adaptation strategies of heteroblastic foliage in Pinus massoniana seedlings: insights into sugar composition, osmotic regulation, and protective enzyme mechanisms",,,,,,,[],['Haoyun Wang' 'Shuangqin Xie' 'Hongyang He' 'Yingying Xu' 'Feng Wu'],[],[],[],[],"['https://doi.org/10.1038/s41598-021-84713-9'
 'https://doi.org/10.3390/plants13060870'
 'https://doi.org/10.1093/treephys/tpn045'
 'https://doi.org/10.1007/s00425-020-03421-2'
 'https://doi.org/10.1078/0367-2530-00008'
 'https://doi.org/10.1111/j.1365-2486.2004.00877.x'
 'https://doi.org/10.1111/gcb.17288'
 'https://doi.org/10.1111/1365-2745.13677'
 'https://doi.org/10.1111/ppl.14095' 'https://doi.org/10.1111/nph.16904'
 'https://doi.org/10.1007/s10342-010-0476-y'
 'https://doi.org/10.1007/s00468-013-0901-1'
 'https://doi.org/10.1007/s00468-010-0496-8'
 'https://doi.org/10.3389/fpls.2023.1261240'
 'https://doi.org/10.1111/pce.14639'
 'https://doi.org/10.1111/j.1365-2486.2004.00781.x'
 'https://doi.org/10.1007/s12209-019-00214-x'
 'https://doi.org/10.1007/s00468-016-1432-3'
 'https://doi.org/10.1093/treephys/tpv143'
 'https://doi.org/10.1002/jsfa.1046'
 'https://doi.org/10.1080/10549810802626134'
 'https://doi.org/10.3390/antiox9080681'
 'https://doi.org/10.1016/j.aoas.2016.05.002'
 'https://doi.org/10.3390/ijms23095161'
 'https://doi.org/10.1139/cjfr-2014-0378'
 'https://doi.org/10.1111/j.1365-313X.2005.02565.x'
 'https://doi.org/10.32615/ps.2021.030'
 'https://doi.org/10.1093/treephys/tpx139'
 'https://doi.org/10.1111/1365-2435.13087'
 'https://doi.org/10.1046/j.0016-8025.2001.00814.x'
 'https://doi.org/10.1093/treephys/26.2.229'
 'https://doi.org/10.1007/s11056-021-09857-y'
 'https://doi.org/10.1093/jxb/erx291' 'https://doi.org/10.1002/ecm.1231'
 'https://doi.org/10.1038/s41467-019-10453-0'
 'https://doi.org/10.1111/ppl.13217'
 'https://doi.org/10.1146/annurev-arplant-050213-040251'
 'https://doi.org/10.1016/j.plaphy.2016.09.005'
 'https://doi.org/10.1046/j.1365-3040.2002.00861.x'
 'https://doi.org/10.1016/j.plaphy.2022.08.024'
 'https://doi.org/10.1093/treephys/28.9.1365'
 'https://doi.org/10.1186/s12870-018-1464-5'
 'https://doi.org/10.3389/fphys.2017.00578'
 'https://doi.org/10.1093/treephys/20.16.1097'
 'https://doi.org/10.1007/s11056-012-9328-6'
 'https://doi.org/10.3390/f12121686'
 'https://doi.org/10.1016/j.plaphy.2021.12.006'
 'https://doi.org/10.1016/j.ijbiomac.2024.130762'
 'https://doi.org/10.1007/s13595-017-0678-2'
 'https://doi.org/10.1002/ece3.8611'
 'https://doi.org/10.1093/plphys/kiad063'
 'https://doi.org/10.3390/f15091560'
 'https://doi.org/10.1016/j.plantsci.2020.110703'
 'https://doi.org/10.1111/plb.13190'
 'https://doi.org/10.1016/j.plaphy.2023.108029'
 'https://doi.org/10.1016/j.scienta.2024.113486'
 'https://doi.org/10.1007/s10725-015-0083-5'
 'https://doi.org/10.1007/s12229-010-9062-8']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[ 0.05344025  0.02849953  0.03354601 ...  0.00606016  0.00387602
 -0.01486963]",[0. 0. 0. ... 0. 0. 0.]
6,,https://doi.org/10.1016/j.metrad.2025.100157,2025-06-12,Investigating the shared genetic architecture between Parkinson's disease and magnetic susceptibility of the substantia nigra,,,,,,,[],['Jilian Fu'],[],[],[],[],"['https://doi.org/10.1016/S1474-4422(18)30295-3'
 'https://doi.org/10.1016/j.nbd.2011.12.054'
 'https://doi.org/10.1016/j.jtemb.2014.05.007'
 'https://doi.org/10.1111/j.1471-4159.2010.07132.x'
 'https://doi.org/10.1038/s41419-020-2298-2'
 'https://doi.org/10.1523/JNEUROSCI.20-16-06048.2000'
 'https://doi.org/10.3389/fnins.2022.938092'
 'https://doi.org/10.1002/mds.27717' 'https://doi.org/10.1002/mds.28077'
 'https://doi.org/10.1002/mds.27318'
 'https://doi.org/10.1016/j.neuroimage.2012.05.049'
 'https://doi.org/10.1016/S1474-4422(19)30320-5'
 'https://doi.org/10.1038/s41593-022-01074-w'
 'https://doi.org/10.1038/ng.3211'
 'https://doi.org/10.1038/s41588-018-0279-5'
 'https://doi.org/10.1093/bioinformatics/btv546'
 'https://doi.org/10.1371/journal.pgen.1003455'
 'https://doi.org/10.1016/j.ajhg.2013.01.001'
 'https://doi.org/10.1001/jamapsychiatry.2021.1435'
 'https://doi.org/10.1038/s41467-017-01261-5'
 'https://doi.org/10.1038/nature15393'
 'https://doi.org/10.1101/gr.137323.112'
 'https://doi.org/10.1002/biof.1399'
 'https://doi.org/10.1124/mol.110.064535'
 'https://doi.org/10.1002/ana.10483' 'https://doi.org/10.1021/jf8007212'
 'https://doi.org/10.1007/s00210-018-1474-8'
 'https://doi.org/10.1038/s41577-022-00684-6'
 'https://doi.org/10.1016/j.ejphar.2008.10.005'
 'https://doi.org/10.1016/j.nicl.2024.103577'
 'https://doi.org/10.1186/s12868-019-0505-9'
 'https://doi.org/10.1016/j.ajhg.2016.01.014'
 'https://doi.org/10.1038/s41374-019-0197-x'
 'https://doi.org/10.1002/glia.10316']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[-0.00678611 -0.04098039  0.01062379 ... -0.00100929  0.03554339
 -0.06583912]",[0. 0. 0. ... 0. 0. 0.]
7,,https://doi.org/10.7837/kosomes.2019.25.7.827,2020-03-13,A Study on the Tide Differences in the Tide Tables of Major Ports in Korea - Focusing on the Comparison of UK and Korean Harmony Constants -,,,,,,,[],['Jae-Ho Jeon' 'Serng-Bae Moon'],[],[],[],[],[],[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[ 0.00280086  0.02931425  0.05281619 ...  0.02557977 -0.03181326
  0.01034703]",[0. 0. 0. ... 0. 0. 0.]
8,,https://doi.org/10.1016/j.ejca.2025.115645,2025-07-15,Prognostic impact of the BRAF V600E mutation in patients with MSI-high metastatic colorectal cancer treated with immune checkpoint inhibitors,,,,,,,[],"['Claire Gallois' 'Margherita Ambrosini' 'Sara Lonardi' 'Emily Alouani'
 'Rosine Guimbaud' 'Michael J. Overman' 'Frank Sinicrope'
 'Thibault Mazard' 'Marie Decraecker' 'Javier Ros' 'Elena Elez'
 'Simon Pernot' 'Chiara Cremolini' 'Alice Boilève' 'Pauline Parent'
 'Priya Jayachandran' 'Marie Dutherage' 'Mathilde Mercier'
 'Clémence Flecchia' 'Marwan Fakih' 'Francesco Sclafani'
 'Filippo Pietrantonio' 'Julien Taieb' 'David Tougeron']",[],[],[],[],"['https://doi.org/10.1126/science.aan6733'
 'https://doi.org/10.1056/NEJMoa2017699'
 'https://doi.org/10.1016/S1470-2045(22)00197-8'
 'https://doi.org/10.1001/jamaoncol.2023.2761'
 'https://doi.org/10.1016/j.esmoop.2023.101574'
 'https://doi.org/10.1038/s41416-023-02524-3'
 'https://doi.org/10.1038/s41416-024-02711-w'
 'https://doi.org/10.1634/theoncologist.2018-0914'
 'https://doi.org/10.1016/j.annonc.2024.08.610'
 'https://doi.org/10.1200/JCO.2017.76.9901'
 'https://doi.org/10.1056/NEJMoa2402141'
 'https://doi.org/10.1200/JCO.21.01015'
 'https://doi.org/10.1093/jnci/djab042'
 'https://doi.org/10.1038/s41416-019-0526-2'
 'https://doi.org/10.1038/s41467-022-29000-5'
 'https://doi.org/10.1158/2159-8290.CD-19-0672'
 'https://doi.org/10.1038/s43018-021-00221-9'
 'https://doi.org/10.1038/nature25501'
 'https://doi.org/10.1038/nature25492'
 'https://doi.org/10.1158/2326-6066.CIR-18-0086'
 'https://doi.org/10.1016/j.ccell.2015.03.001'
 'https://doi.org/10.1016/j.ccell.2014.11.016'
 'https://doi.org/10.1016/j.cell.2015.10.054'
 'https://doi.org/10.1126/science.aaf2807'
 'https://doi.org/10.1056/NEJMoa1604958'
 'https://doi.org/10.2217/fon-2022-1249']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[ 0.01056914 -0.00359026  0.04335995 ...  0.00281081  0.02340137
  0.03726885]",[0. 0. 0. ... 0. 0. 0.]
9,,https://doi.org/10.7837/kosomes.2023.29.6.639,2023-12-13,Redefinition of the Concept of Fishing Vessel and Legislation Adjustment,,,,,,,[],['' 'Yeong-Tae Son'],[],[],[],[],"['https://doi.org/10.25023/kapsa.13.1.201605.21'
 'https://doi.org/10.30887/jkmps.2021.11.1.149'
 'https://doi.org/10.30887/jkmps.2018.8.2.017']",[],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[ 0.0201016   0.03619493  0.0364963  ... -0.00614048 -0.0078131
  0.032699  ]",[0. 0. 0. ... 0. 0. 0.]
